id,jurisdiction,jurisdiction_code,country,regulation_name,authority,product_category,voc_limit_g_per_L,unit,effective_date,last_amended,source_url,scope,healthcare_context,zero_voc_threshold_g_per_L,low_voc_threshold_g_per_L,classification
151,Massachusetts,US-MA,United States,OTC Model Rule — Massachusetts Consumer Products VOC Regulations,Massachusetts Department of Environmental Protection / OTC,General Purpose Cleaner,7.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Primary workhorse for patient room turnover and common area maintenance. IPAC protocols require low-residue, low-VOC formulations.",5.0,50.0,Low VOC
152,Massachusetts,US-MA,United States,OTC Model Rule — Massachusetts Consumer Products VOC Regulations,Massachusetts Department of Environmental Protection / OTC,General Purpose Degreaser,40.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Used in healthcare kitchen and dietary services, mechanical rooms, and loading docks. Must meet OSHA PEL for enclosed-space use.",5.0,50.0,Low VOC
153,Massachusetts,US-MA,United States,OTC Model Rule — Massachusetts Consumer Products VOC Regulations,Massachusetts Department of Environmental Protection / OTC,Glass Cleaner,7.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"High-frequency use on interior glass partitions, patient room windows, and nurse station barriers. Low-VOC critical in ICU/NICU environments.",5.0,50.0,Low VOC
154,Massachusetts,US-MA,United States,OTC Model Rule — Massachusetts Consumer Products VOC Regulations,Massachusetts Department of Environmental Protection / OTC,Bathroom and Tile Cleaner,7.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Daily use in patient, staff, and public washrooms. Healthcare facilities require products effective against nosocomial pathogens while meeting VOC limits.",5.0,50.0,Low VOC
155,Massachusetts,US-MA,United States,OTC Model Rule — Massachusetts Consumer Products VOC Regulations,Massachusetts Department of Environmental Protection / OTC,Toilet/Urinal Care Product,5.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Daily maintenance in all facility washrooms. Acid-based products must also meet corrosion standards for plumbing in healthcare settings.,5.0,50.0,Ultra-Low VOC
156,Massachusetts,US-MA,United States,OTC Model Rule — Massachusetts Consumer Products VOC Regulations,Massachusetts Department of Environmental Protection / OTC,Floor Wax Stripper,0.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Periodic use (semi-annual to annual) in corridors and common areas. Zero-VOC formulations preferred due to off-gassing during application.,5.0,50.0,Zero VOC
157,Massachusetts,US-MA,United States,OTC Model Rule — Massachusetts Consumer Products VOC Regulations,Massachusetts Department of Environmental Protection / OTC,Floor Finish / Polish,5.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Applied after stripping. Must cure to a slip-resistant finish meeting ASTM D2047 (coefficient of friction >= 0.5) in healthcare corridors.,5.0,50.0,Ultra-Low VOC
158,Massachusetts,US-MA,United States,OTC Model Rule — Massachusetts Consumer Products VOC Regulations,Massachusetts Department of Environmental Protection / OTC,Carpet Cleaner (Extraction),5.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Used in administrative areas, waiting rooms, and some long-term care patient rooms. Hot water extraction preferred for allergen removal.",5.0,50.0,Ultra-Low VOC
159,Massachusetts,US-MA,United States,OTC Model Rule — Massachusetts Consumer Products VOC Regulations,Massachusetts Department of Environmental Protection / OTC,Carpet Cleaner (Encapsulation),7.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Low-moisture alternative for areas that cannot tolerate extended drying times. Lower VOC profile than extraction chemistry.,5.0,50.0,Low VOC
160,Massachusetts,US-MA,United States,OTC Model Rule — Massachusetts Consumer Products VOC Regulations,Massachusetts Department of Environmental Protection / OTC,Disinfectant (Spray),45.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Critical for surface disinfection in patient care areas. Must be effective against C. difficile, MRSA, and VRE while meeting VOC thresholds.",5.0,50.0,Low VOC
161,Massachusetts,US-MA,United States,OTC Model Rule — Massachusetts Consumer Products VOC Regulations,Massachusetts Department of Environmental Protection / OTC,Disinfectant (Concentrate),10.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Diluted on-site for mop-and-bucket or autoscrubber use. Lower VOC per application than spray disinfectants due to dilution.,5.0,50.0,Low VOC
162,Massachusetts,US-MA,United States,OTC Model Rule — Massachusetts Consumer Products VOC Regulations,Massachusetts Department of Environmental Protection / OTC,Sanitizer (Food Contact),15.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Required in healthcare dietary departments. Must meet Health Canada or EPA requirements for no-rinse food contact surface sanitization.,5.0,50.0,Low VOC
163,Massachusetts,US-MA,United States,OTC Model Rule — Massachusetts Consumer Products VOC Regulations,Massachusetts Department of Environmental Protection / OTC,Air Freshener (Spray),20.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Discouraged in clinical areas due to patient sensitivity. May be used in administrative or public-facing non-clinical spaces only.,5.0,50.0,Low VOC
164,Massachusetts,US-MA,United States,OTC Model Rule — Massachusetts Consumer Products VOC Regulations,Massachusetts Department of Environmental Protection / OTC,Air Freshener (Liquid/Wick),5.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Lower emission rate than sprays. Some healthcare facilities prohibit all air fresheners in clinical zones per IPAC guidelines.,5.0,50.0,Ultra-Low VOC
165,Massachusetts,US-MA,United States,OTC Model Rule — Massachusetts Consumer Products VOC Regulations,Massachusetts Department of Environmental Protection / OTC,Metal Polish/Cleanser,25.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Used on stainless steel fixtures, handrails, elevator doors. Healthcare-grade products should be non-abrasive and low-odour.",5.0,50.0,Low VOC
166,Massachusetts,US-MA,United States,OTC Model Rule — Massachusetts Consumer Products VOC Regulations,Massachusetts Department of Environmental Protection / OTC,Furniture Maintenance Product,12.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Used on waiting room, office, and common area furniture. Avoid silicone-based products on healthcare seating (interferes with infection control).",5.0,50.0,Low VOC
167,Massachusetts,US-MA,United States,OTC Model Rule — Massachusetts Consumer Products VOC Regulations,Massachusetts Department of Environmental Protection / OTC,Oven/Grill Cleaner,5.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Dietary department use only. Must be used with ventilation due to alkaline off-gassing. Low-VOC formulations reduce ventilation requirements.,5.0,50.0,Ultra-Low VOC
168,Massachusetts,US-MA,United States,OTC Model Rule — Massachusetts Consumer Products VOC Regulations,Massachusetts Department of Environmental Protection / OTC,Laundry Detergent (Institutional),5.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,High-volume use in healthcare laundry. Must be compatible with thermal disinfection cycles (71°C / 160°F for 25 minutes).,5.0,50.0,Ultra-Low VOC
169,Massachusetts,US-MA,United States,OTC Model Rule — Massachusetts Consumer Products VOC Regulations,Massachusetts Department of Environmental Protection / OTC,Fabric Softener (Institutional),4.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Used selectively — many healthcare laundry programs skip softener to maintain antimicrobial textile treatments.,5.0,50.0,Ultra-Low VOC
170,Massachusetts,US-MA,United States,OTC Model Rule — Massachusetts Consumer Products VOC Regulations,Massachusetts Department of Environmental Protection / OTC,Spot Remover,15.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Used on carpeted areas and upholstered furniture. Must not leave residues that interfere with subsequent disinfection.,5.0,50.0,Low VOC
171,Massachusetts,US-MA,United States,OTC Model Rule — Massachusetts Consumer Products VOC Regulations,Massachusetts Department of Environmental Protection / OTC,Dust Suppressant,0.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Used in construction/renovation zones adjacent to active patient care. ICRA (Infection Control Risk Assessment) protocols apply.,5.0,50.0,Zero VOC
172,Massachusetts,US-MA,United States,OTC Model Rule — Massachusetts Consumer Products VOC Regulations,Massachusetts Department of Environmental Protection / OTC,Adhesive Remover,35.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Used for label/tape residue removal from equipment and surfaces. Low-VOC formulations required for use near patient care areas.,5.0,50.0,Low VOC
173,Massachusetts,US-MA,United States,OTC Model Rule — Massachusetts Consumer Products VOC Regulations,Massachusetts Department of Environmental Protection / OTC,Graffiti Remover,40.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Occasional use in emergency departments, psychiatric units, and exterior surfaces. High-VOC products require ventilation controls.",5.0,50.0,Low VOC
174,Massachusetts,US-MA,United States,OTC Model Rule — Massachusetts Consumer Products VOC Regulations,Massachusetts Department of Environmental Protection / OTC,Heavy-Duty Hand Cleaner,7.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Used by maintenance and dietary staff. Must be gentle enough for repeated use (healthcare workers wash hands 40-100 times per shift).,5.0,50.0,Low VOC
175,Massachusetts,US-MA,United States,OTC Model Rule — Massachusetts Consumer Products VOC Regulations,Massachusetts Department of Environmental Protection / OTC,Stainless Steel Cleaner,8.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Daily use on elevators, counters, fixtures. Healthcare facilities prefer non-aerosol formulations to reduce VOC emissions.",5.0,50.0,Low VOC
176,New Hampshire,US-NH,United States,OTC Model Rule — New Hampshire Consumer Products VOC Regulations,New Hampshire Department of Environmental Protection / OTC,General Purpose Cleaner,7.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Primary workhorse for patient room turnover and common area maintenance. IPAC protocols require low-residue, low-VOC formulations.",5.0,50.0,Low VOC
177,New Hampshire,US-NH,United States,OTC Model Rule — New Hampshire Consumer Products VOC Regulations,New Hampshire Department of Environmental Protection / OTC,General Purpose Degreaser,40.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Used in healthcare kitchen and dietary services, mechanical rooms, and loading docks. Must meet OSHA PEL for enclosed-space use.",5.0,50.0,Low VOC
178,New Hampshire,US-NH,United States,OTC Model Rule — New Hampshire Consumer Products VOC Regulations,New Hampshire Department of Environmental Protection / OTC,Glass Cleaner,7.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"High-frequency use on interior glass partitions, patient room windows, and nurse station barriers. Low-VOC critical in ICU/NICU environments.",5.0,50.0,Low VOC
179,New Hampshire,US-NH,United States,OTC Model Rule — New Hampshire Consumer Products VOC Regulations,New Hampshire Department of Environmental Protection / OTC,Bathroom and Tile Cleaner,7.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Daily use in patient, staff, and public washrooms. Healthcare facilities require products effective against nosocomial pathogens while meeting VOC limits.",5.0,50.0,Low VOC
180,New Hampshire,US-NH,United States,OTC Model Rule — New Hampshire Consumer Products VOC Regulations,New Hampshire Department of Environmental Protection / OTC,Toilet/Urinal Care Product,5.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Daily maintenance in all facility washrooms. Acid-based products must also meet corrosion standards for plumbing in healthcare settings.,5.0,50.0,Ultra-Low VOC
181,New Hampshire,US-NH,United States,OTC Model Rule — New Hampshire Consumer Products VOC Regulations,New Hampshire Department of Environmental Protection / OTC,Floor Wax Stripper,0.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Periodic use (semi-annual to annual) in corridors and common areas. Zero-VOC formulations preferred due to off-gassing during application.,5.0,50.0,Zero VOC
182,New Hampshire,US-NH,United States,OTC Model Rule — New Hampshire Consumer Products VOC Regulations,New Hampshire Department of Environmental Protection / OTC,Floor Finish / Polish,5.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Applied after stripping. Must cure to a slip-resistant finish meeting ASTM D2047 (coefficient of friction >= 0.5) in healthcare corridors.,5.0,50.0,Ultra-Low VOC
183,New Hampshire,US-NH,United States,OTC Model Rule — New Hampshire Consumer Products VOC Regulations,New Hampshire Department of Environmental Protection / OTC,Carpet Cleaner (Extraction),5.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Used in administrative areas, waiting rooms, and some long-term care patient rooms. Hot water extraction preferred for allergen removal.",5.0,50.0,Ultra-Low VOC
184,New Hampshire,US-NH,United States,OTC Model Rule — New Hampshire Consumer Products VOC Regulations,New Hampshire Department of Environmental Protection / OTC,Carpet Cleaner (Encapsulation),7.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Low-moisture alternative for areas that cannot tolerate extended drying times. Lower VOC profile than extraction chemistry.,5.0,50.0,Low VOC
185,New Hampshire,US-NH,United States,OTC Model Rule — New Hampshire Consumer Products VOC Regulations,New Hampshire Department of Environmental Protection / OTC,Disinfectant (Spray),45.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Critical for surface disinfection in patient care areas. Must be effective against C. difficile, MRSA, and VRE while meeting VOC thresholds.",5.0,50.0,Low VOC
186,New Hampshire,US-NH,United States,OTC Model Rule — New Hampshire Consumer Products VOC Regulations,New Hampshire Department of Environmental Protection / OTC,Disinfectant (Concentrate),10.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Diluted on-site for mop-and-bucket or autoscrubber use. Lower VOC per application than spray disinfectants due to dilution.,5.0,50.0,Low VOC
187,New Hampshire,US-NH,United States,OTC Model Rule — New Hampshire Consumer Products VOC Regulations,New Hampshire Department of Environmental Protection / OTC,Sanitizer (Food Contact),15.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Required in healthcare dietary departments. Must meet Health Canada or EPA requirements for no-rinse food contact surface sanitization.,5.0,50.0,Low VOC
188,New Hampshire,US-NH,United States,OTC Model Rule — New Hampshire Consumer Products VOC Regulations,New Hampshire Department of Environmental Protection / OTC,Air Freshener (Spray),20.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Discouraged in clinical areas due to patient sensitivity. May be used in administrative or public-facing non-clinical spaces only.,5.0,50.0,Low VOC
189,New Hampshire,US-NH,United States,OTC Model Rule — New Hampshire Consumer Products VOC Regulations,New Hampshire Department of Environmental Protection / OTC,Air Freshener (Liquid/Wick),5.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Lower emission rate than sprays. Some healthcare facilities prohibit all air fresheners in clinical zones per IPAC guidelines.,5.0,50.0,Ultra-Low VOC
190,New Hampshire,US-NH,United States,OTC Model Rule — New Hampshire Consumer Products VOC Regulations,New Hampshire Department of Environmental Protection / OTC,Metal Polish/Cleanser,25.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Used on stainless steel fixtures, handrails, elevator doors. Healthcare-grade products should be non-abrasive and low-odour.",5.0,50.0,Low VOC
191,New Hampshire,US-NH,United States,OTC Model Rule — New Hampshire Consumer Products VOC Regulations,New Hampshire Department of Environmental Protection / OTC,Furniture Maintenance Product,12.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Used on waiting room, office, and common area furniture. Avoid silicone-based products on healthcare seating (interferes with infection control).",5.0,50.0,Low VOC
192,New Hampshire,US-NH,United States,OTC Model Rule — New Hampshire Consumer Products VOC Regulations,New Hampshire Department of Environmental Protection / OTC,Oven/Grill Cleaner,5.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Dietary department use only. Must be used with ventilation due to alkaline off-gassing. Low-VOC formulations reduce ventilation requirements.,5.0,50.0,Ultra-Low VOC
193,New Hampshire,US-NH,United States,OTC Model Rule — New Hampshire Consumer Products VOC Regulations,New Hampshire Department of Environmental Protection / OTC,Laundry Detergent (Institutional),5.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,High-volume use in healthcare laundry. Must be compatible with thermal disinfection cycles (71°C / 160°F for 25 minutes).,5.0,50.0,Ultra-Low VOC
194,New Hampshire,US-NH,United States,OTC Model Rule — New Hampshire Consumer Products VOC Regulations,New Hampshire Department of Environmental Protection / OTC,Fabric Softener (Institutional),4.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Used selectively — many healthcare laundry programs skip softener to maintain antimicrobial textile treatments.,5.0,50.0,Ultra-Low VOC
195,New Hampshire,US-NH,United States,OTC Model Rule — New Hampshire Consumer Products VOC Regulations,New Hampshire Department of Environmental Protection / OTC,Spot Remover,15.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Used on carpeted areas and upholstered furniture. Must not leave residues that interfere with subsequent disinfection.,5.0,50.0,Low VOC
196,New Hampshire,US-NH,United States,OTC Model Rule — New Hampshire Consumer Products VOC Regulations,New Hampshire Department of Environmental Protection / OTC,Dust Suppressant,0.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Used in construction/renovation zones adjacent to active patient care. ICRA (Infection Control Risk Assessment) protocols apply.,5.0,50.0,Zero VOC
197,New Hampshire,US-NH,United States,OTC Model Rule — New Hampshire Consumer Products VOC Regulations,New Hampshire Department of Environmental Protection / OTC,Adhesive Remover,35.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Used for label/tape residue removal from equipment and surfaces. Low-VOC formulations required for use near patient care areas.,5.0,50.0,Low VOC
198,New Hampshire,US-NH,United States,OTC Model Rule — New Hampshire Consumer Products VOC Regulations,New Hampshire Department of Environmental Protection / OTC,Graffiti Remover,40.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Occasional use in emergency departments, psychiatric units, and exterior surfaces. High-VOC products require ventilation controls.",5.0,50.0,Low VOC
199,New Hampshire,US-NH,United States,OTC Model Rule — New Hampshire Consumer Products VOC Regulations,New Hampshire Department of Environmental Protection / OTC,Heavy-Duty Hand Cleaner,7.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Used by maintenance and dietary staff. Must be gentle enough for repeated use (healthcare workers wash hands 40-100 times per shift).,5.0,50.0,Low VOC
200,New Hampshire,US-NH,United States,OTC Model Rule — New Hampshire Consumer Products VOC Regulations,New Hampshire Department of Environmental Protection / OTC,Stainless Steel Cleaner,8.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Daily use on elevators, counters, fixtures. Healthcare facilities prefer non-aerosol formulations to reduce VOC emissions.",5.0,50.0,Low VOC
201,New Jersey,US-NJ,United States,OTC Model Rule — New Jersey Consumer Products VOC Regulations,New Jersey Department of Environmental Protection / OTC,General Purpose Cleaner,7.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Primary workhorse for patient room turnover and common area maintenance. IPAC protocols require low-residue, low-VOC formulations.",5.0,50.0,Low VOC
202,New Jersey,US-NJ,United States,OTC Model Rule — New Jersey Consumer Products VOC Regulations,New Jersey Department of Environmental Protection / OTC,General Purpose Degreaser,40.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Used in healthcare kitchen and dietary services, mechanical rooms, and loading docks. Must meet OSHA PEL for enclosed-space use.",5.0,50.0,Low VOC
203,New Jersey,US-NJ,United States,OTC Model Rule — New Jersey Consumer Products VOC Regulations,New Jersey Department of Environmental Protection / OTC,Glass Cleaner,7.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"High-frequency use on interior glass partitions, patient room windows, and nurse station barriers. Low-VOC critical in ICU/NICU environments.",5.0,50.0,Low VOC
204,New Jersey,US-NJ,United States,OTC Model Rule — New Jersey Consumer Products VOC Regulations,New Jersey Department of Environmental Protection / OTC,Bathroom and Tile Cleaner,7.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Daily use in patient, staff, and public washrooms. Healthcare facilities require products effective against nosocomial pathogens while meeting VOC limits.",5.0,50.0,Low VOC
205,New Jersey,US-NJ,United States,OTC Model Rule — New Jersey Consumer Products VOC Regulations,New Jersey Department of Environmental Protection / OTC,Toilet/Urinal Care Product,5.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Daily maintenance in all facility washrooms. Acid-based products must also meet corrosion standards for plumbing in healthcare settings.,5.0,50.0,Ultra-Low VOC
206,New Jersey,US-NJ,United States,OTC Model Rule — New Jersey Consumer Products VOC Regulations,New Jersey Department of Environmental Protection / OTC,Floor Wax Stripper,0.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Periodic use (semi-annual to annual) in corridors and common areas. Zero-VOC formulations preferred due to off-gassing during application.,5.0,50.0,Zero VOC
207,New Jersey,US-NJ,United States,OTC Model Rule — New Jersey Consumer Products VOC Regulations,New Jersey Department of Environmental Protection / OTC,Floor Finish / Polish,5.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Applied after stripping. Must cure to a slip-resistant finish meeting ASTM D2047 (coefficient of friction >= 0.5) in healthcare corridors.,5.0,50.0,Ultra-Low VOC
208,New Jersey,US-NJ,United States,OTC Model Rule — New Jersey Consumer Products VOC Regulations,New Jersey Department of Environmental Protection / OTC,Carpet Cleaner (Extraction),5.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Used in administrative areas, waiting rooms, and some long-term care patient rooms. Hot water extraction preferred for allergen removal.",5.0,50.0,Ultra-Low VOC
209,New Jersey,US-NJ,United States,OTC Model Rule — New Jersey Consumer Products VOC Regulations,New Jersey Department of Environmental Protection / OTC,Carpet Cleaner (Encapsulation),7.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Low-moisture alternative for areas that cannot tolerate extended drying times. Lower VOC profile than extraction chemistry.,5.0,50.0,Low VOC
210,New Jersey,US-NJ,United States,OTC Model Rule — New Jersey Consumer Products VOC Regulations,New Jersey Department of Environmental Protection / OTC,Disinfectant (Spray),45.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Critical for surface disinfection in patient care areas. Must be effective against C. difficile, MRSA, and VRE while meeting VOC thresholds.",5.0,50.0,Low VOC
211,New Jersey,US-NJ,United States,OTC Model Rule — New Jersey Consumer Products VOC Regulations,New Jersey Department of Environmental Protection / OTC,Disinfectant (Concentrate),10.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Diluted on-site for mop-and-bucket or autoscrubber use. Lower VOC per application than spray disinfectants due to dilution.,5.0,50.0,Low VOC
212,New Jersey,US-NJ,United States,OTC Model Rule — New Jersey Consumer Products VOC Regulations,New Jersey Department of Environmental Protection / OTC,Sanitizer (Food Contact),15.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Required in healthcare dietary departments. Must meet Health Canada or EPA requirements for no-rinse food contact surface sanitization.,5.0,50.0,Low VOC
213,New Jersey,US-NJ,United States,OTC Model Rule — New Jersey Consumer Products VOC Regulations,New Jersey Department of Environmental Protection / OTC,Air Freshener (Spray),20.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Discouraged in clinical areas due to patient sensitivity. May be used in administrative or public-facing non-clinical spaces only.,5.0,50.0,Low VOC
214,New Jersey,US-NJ,United States,OTC Model Rule — New Jersey Consumer Products VOC Regulations,New Jersey Department of Environmental Protection / OTC,Air Freshener (Liquid/Wick),5.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Lower emission rate than sprays. Some healthcare facilities prohibit all air fresheners in clinical zones per IPAC guidelines.,5.0,50.0,Ultra-Low VOC
215,New Jersey,US-NJ,United States,OTC Model Rule — New Jersey Consumer Products VOC Regulations,New Jersey Department of Environmental Protection / OTC,Metal Polish/Cleanser,25.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Used on stainless steel fixtures, handrails, elevator doors. Healthcare-grade products should be non-abrasive and low-odour.",5.0,50.0,Low VOC
216,New Jersey,US-NJ,United States,OTC Model Rule — New Jersey Consumer Products VOC Regulations,New Jersey Department of Environmental Protection / OTC,Furniture Maintenance Product,12.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Used on waiting room, office, and common area furniture. Avoid silicone-based products on healthcare seating (interferes with infection control).",5.0,50.0,Low VOC
217,New Jersey,US-NJ,United States,OTC Model Rule — New Jersey Consumer Products VOC Regulations,New Jersey Department of Environmental Protection / OTC,Oven/Grill Cleaner,5.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Dietary department use only. Must be used with ventilation due to alkaline off-gassing. Low-VOC formulations reduce ventilation requirements.,5.0,50.0,Ultra-Low VOC
218,New Jersey,US-NJ,United States,OTC Model Rule — New Jersey Consumer Products VOC Regulations,New Jersey Department of Environmental Protection / OTC,Laundry Detergent (Institutional),5.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,High-volume use in healthcare laundry. Must be compatible with thermal disinfection cycles (71°C / 160°F for 25 minutes).,5.0,50.0,Ultra-Low VOC
219,New Jersey,US-NJ,United States,OTC Model Rule — New Jersey Consumer Products VOC Regulations,New Jersey Department of Environmental Protection / OTC,Fabric Softener (Institutional),4.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Used selectively — many healthcare laundry programs skip softener to maintain antimicrobial textile treatments.,5.0,50.0,Ultra-Low VOC
220,New Jersey,US-NJ,United States,OTC Model Rule — New Jersey Consumer Products VOC Regulations,New Jersey Department of Environmental Protection / OTC,Spot Remover,15.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Used on carpeted areas and upholstered furniture. Must not leave residues that interfere with subsequent disinfection.,5.0,50.0,Low VOC
221,New Jersey,US-NJ,United States,OTC Model Rule — New Jersey Consumer Products VOC Regulations,New Jersey Department of Environmental Protection / OTC,Dust Suppressant,0.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Used in construction/renovation zones adjacent to active patient care. ICRA (Infection Control Risk Assessment) protocols apply.,5.0,50.0,Zero VOC
222,New Jersey,US-NJ,United States,OTC Model Rule — New Jersey Consumer Products VOC Regulations,New Jersey Department of Environmental Protection / OTC,Adhesive Remover,35.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Used for label/tape residue removal from equipment and surfaces. Low-VOC formulations required for use near patient care areas.,5.0,50.0,Low VOC
223,New Jersey,US-NJ,United States,OTC Model Rule — New Jersey Consumer Products VOC Regulations,New Jersey Department of Environmental Protection / OTC,Graffiti Remover,40.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,"Occasional use in emergency departments, psychiatric units, and exterior surfaces. High-VOC products require ventilation controls.",5.0,50.0,Low VOC
224,New Jersey,US-NJ,United States,OTC Model Rule — New Jersey Consumer Products VOC Regulations,New Jersey Department of Environmental Protection / OTC,Heavy-Duty Hand Cleaner,7.0,g/L as applied,2005-01-01,2022-01-01,https://otcair.org/,Consumer and institutional products,Used by maintenance and dietary staff. Must be gentle enough for repeated use (healthcare workers wash hands 40-100 times per shift).,5.0,50.0,Low VOC
