id,product_id,product_name,manufacturer,product_category,voc_content_g_per_L,effective_voc_diluted_g_per_L,dilution_ratio,coverage_sqft_per_L,price_per_litre_cad,certifications,healthcare_approved,recommended_facility_types,compliant_jurisdiction_count,total_jurisdictions_checked,compliant_jurisdictions,non_compliant_jurisdictions,din_npn,sds_available,voc_classification,ipac_compatible,green_seal_eligible
905,PROD-5ED0FFF4,Core Products Co. InoxBright GS,Core Products Co.,Stainless Steel Cleaner,3.2,3.2,RTU (Ready-to-Use),343,8.5,UL ECOLOGO; LEED v4 Compliant,Yes,Community Health Centre; Medical Office Building; Long-Term Care Home; Rehabilitation Centre; Dental Clinic; Acute Care Hospital; Emergency Department,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,Yes,Ultra-Low VOC,Yes,No
906,PROD-683A7F35,Buckeye International SlipSafe Finish GS,Buckeye International,Floor Finish / Polish,6.5,6.5,RTU (Ready-to-Use),288,15.98,UL ECOLOGO; LEED v4 Compliant,Yes,Acute Care Hospital; Diagnostic Imaging Centre; Emergency Department; Long-Term Care Home; Medical Office Building; Community Health Centre; Dental Clinic; Outpatient Surgery Centre,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Yes,No
907,PROD-3CB8E103,Clean Control Corporation MirrorBright Plus,Clean Control Corporation,Glass Cleaner,12.8,12.8,RTU (Ready-to-Use),583,5.37,UL ECOLOGO,No,,0,26,,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Conditional,No
908,PROD-64C02ADC,Avmor Ltd. QuatSan Food GS,Avmor Ltd.,Sanitizer (Food Contact),12.7,12.7,RTU (Ready-to-Use),580,14.58,UL ECOLOGO; EPA Safer Choice,No,,17,26,US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-VA,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-MI; US-UT; US-WA,DIN 02229369,Yes,Low VOC,Conditional,No
909,PROD-18F921CD,Delta Foremost Chemical GreenForce Degreaser 700,Delta Foremost Chemical,General Purpose Degreaser,22.5,0.68,1:32,297,16.3,None,No,,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,Yes,Low VOC,Conditional,No
910,PROD-4EF9D676,Zep Inc. WaxBreak Complete GS,Zep Inc.,Floor Wax Stripper,1.3,0.14,1:8,145,31.78,UL ECOLOGO; EPA Safer Choice; UL GREENGUARD Gold; LEED v4 Compliant,Yes,Community Health Centre; Dental Clinic; Acute Care Hospital; Outpatient Surgery Centre; Diagnostic Imaging Centre,0,26,,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Ultra-Low VOC,Yes,No
911,PROD-16FE7CF6,Clorox Professional SaniTile Daily Elite,Clorox Professional,Bathroom and Tile Cleaner,12.4,0.38,1:32,164,10.79,UL ECOLOGO,No,,0,26,,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Conditional,No
912,PROD-FC867727,Midlab Inc. TagRemove HD Select,Midlab Inc.,Graffiti Remover,47.8,47.8,RTU (Ready-to-Use),10,30.04,None,No,,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,No,No
913,PROD-368FE4B9,Clean Control Corporation FurniCare Pro Plus,Clean Control Corporation,Furniture Maintenance Product,5.9,5.9,RTU (Ready-to-Use),390,19.9,UL ECOLOGO; LEED v4 Compliant,Yes,Outpatient Surgery Centre; Medical Office Building; Acute Care Hospital,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,Yes,Low VOC,Yes,No
914,PROD-BD1DBCFC,Spartan Chemical StickerStrip Plus,Spartan Chemical,Adhesive Remover,23.1,23.1,RTU (Ready-to-Use),61,20.35,None,No,,22,26,CA-QC; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,CA-BC; CA-FED; CA-ON; US-CA,,Yes,Low VOC,Conditional,No
915,PROD-6801B87C,Avmor Ltd. TagRemove HD Elite,Avmor Ltd.,Graffiti Remover,15.4,15.4,RTU (Ready-to-Use),12,43.72,EPA Safer Choice,No,,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,Yes,Low VOC,Conditional,No
916,PROD-9A393DDD,Swish Maintenance GraffitiGone Pro HD,Swish Maintenance,Graffiti Remover,16.2,16.2,RTU (Ready-to-Use),37,37.61,EPA Safer Choice,No,,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,Yes,Low VOC,Conditional,No
917,PROD-690851CE,3M Commercial Solutions MetalCare SS Select,3M Commercial Solutions,Stainless Steel Cleaner,8.4,8.4,RTU (Ready-to-Use),285,22.99,Green Seal GS-37; UL ECOLOGO; EPA Safer Choice,Yes,Medical Office Building; Community Health Centre; Acute Care Hospital; Long-Term Care Home; Diagnostic Imaging Centre; Rehabilitation Centre; Emergency Department; Psychiatric Facility,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Yes,Yes
918,PROD-D4CC4009,Delta Foremost Chemical AirPure Passive 1000,Delta Foremost Chemical,Air Freshener (Liquid/Wick),2.3,2.3,RTU (Ready-to-Use),772,10.7,UL ECOLOGO; UL GREENGUARD Gold; LEED v4 Compliant,Yes,Acute Care Hospital; Outpatient Surgery Centre; Dental Clinic; Emergency Department; Diagnostic Imaging Centre; Long-Term Care Home; Medical Office Building; Psychiatric Facility; Rehabilitation Centre; Community Health Centre,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,No,Ultra-Low VOC,Yes,No
919,PROD-8B1D24E2,Spartan Chemical MetalCare SS 700,Spartan Chemical,Stainless Steel Cleaner,12.6,12.6,RTU (Ready-to-Use),196,20.33,UL ECOLOGO; EPA Safer Choice,No,,0,26,,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,No,Low VOC,Conditional,No
920,PROD-EB642013,SC Johnson Professional ViruGuard 256 Select,SC Johnson Professional,Disinfectant (Concentrate),7.4,0.11,1:64,269,18.74,Green Seal GS-37; UL ECOLOGO; LEED v4 Compliant,Yes,Community Health Centre; Rehabilitation Centre; Acute Care Hospital; Emergency Department; Outpatient Surgery Centre; Dental Clinic,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,DIN 02266581,Yes,Low VOC,Yes,Yes
921,PROD-700735CF,Avmor Ltd. OvenPro Heavy Duty Elite,Avmor Ltd.,Oven/Grill Cleaner,2.5,0.5,1:4,46,10.1,UL ECOLOGO; EPA Safer Choice; LEED v4 Compliant,Yes,Rehabilitation Centre; Emergency Department; Outpatient Surgery Centre; Medical Office Building,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,Yes,Ultra-Low VOC,Yes,No
922,PROD-E8B435BF,Ecolab Inc. OdorNeutral Spray 500,Ecolab Inc.,Air Freshener (Spray),10.3,10.3,RTU (Ready-to-Use),1648,16.49,UL ECOLOGO,No,,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,Yes,Low VOC,Conditional,No
923,PROD-2079C1FC,Midlab Inc. FabriSoft HC Pro,Midlab Inc.,Fabric Softener (Institutional),1.2,0.01,1:100,,7.21,Green Seal GS-37; EPA Safer Choice; UL GREENGUARD Gold,Yes,Psychiatric Facility; Diagnostic Imaging Centre; Rehabilitation Centre; Long-Term Care Home; Community Health Centre; Outpatient Surgery Centre; Acute Care Hospital; Medical Office Building,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,Yes,Ultra-Low VOC,Yes,Yes
924,PROD-A9BD7C2D,Betco Corporation ThermalWash Pro EC,Betco Corporation,Laundry Detergent (Institutional),3.2,0.01,1:400,,10.18,UL ECOLOGO; EPA Safer Choice; UL GREENGUARD Gold,Yes,Community Health Centre; Medical Office Building; Emergency Department; Dental Clinic; Acute Care Hospital; Outpatient Surgery Centre; Diagnostic Imaging Centre; Long-Term Care Home; Psychiatric Facility; Rehabilitation Centre,22,26,CA-QC; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,CA-BC; CA-FED; CA-ON; US-CA,,Yes,Ultra-Low VOC,Yes,No
925,PROD-026388DB,Pioneer Eclipse SaniBowl HC Select,Pioneer Eclipse,Toilet/Urinal Care Product,10.1,10.1,RTU (Ready-to-Use),103,9.92,None,No,,0,26,,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Conditional,No
926,PROD-3F2DA068,Clorox Professional TextileClean Pro 100,Clorox Professional,Carpet Cleaner (Extraction),5.5,0.08,1:64,124,27.47,UL ECOLOGO; EPA Safer Choice; LEED v4 Compliant,Yes,Rehabilitation Centre; Dental Clinic; Long-Term Care Home,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Yes,No
927,PROD-579E5A34,Sani Professional BioDefend Surface 100,Sani Professional,Disinfectant (Spray),68.1,68.1,RTU (Ready-to-Use),219,14.27,None,No,,0,26,,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,DIN 02249658,Yes,Standard,No,No
928,PROD-232F1DAC,Chase Products Co. SurfaceSilk Furniture Plus,Chase Products Co.,Furniture Maintenance Product,11.1,11.1,RTU (Ready-to-Use),261,8.2,UL ECOLOGO; EPA Safer Choice,No,,17,26,US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-VA,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-MI; US-UT; US-WA,,Yes,Low VOC,Conditional,No
929,PROD-1C06A8CA,Sani Professional HighGloss Pro 1000,Sani Professional,Floor Finish / Polish,3.1,3.1,RTU (Ready-to-Use),366,21.3,Green Seal GS-37; UL ECOLOGO; UL GREENGUARD Gold; LEED v4 Compliant,Yes,Community Health Centre; Psychiatric Facility; Acute Care Hospital; Rehabilitation Centre; Medical Office Building,22,26,CA-QC; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,CA-BC; CA-FED; CA-ON; US-CA,,Yes,Ultra-Low VOC,Yes,Yes
930,PROD-A8008F92,Rochester Midland Corporation DuraCoat Healthcare Ultra,Rochester Midland Corporation,Floor Finish / Polish,2.4,2.4,RTU (Ready-to-Use),181,6.39,Green Seal GS-37; EPA Safer Choice; UL GREENGUARD Gold; LEED v4 Compliant,Yes,Outpatient Surgery Centre; Diagnostic Imaging Centre; Psychiatric Facility; Dental Clinic; Rehabilitation Centre; Long-Term Care Home,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,Yes,Ultra-Low VOC,Yes,Yes
931,PROD-34D6B8AF,Sani Professional CarbonBreak Pro 100,Sani Professional,Oven/Grill Cleaner,3.9,0.43,1:8,33,27.15,UL GREENGUARD Gold; LEED v4 Compliant,Yes,Medical Office Building; Long-Term Care Home; Dental Clinic; Acute Care Hospital,22,26,CA-QC; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,CA-BC; CA-FED; CA-ON; US-CA,,Yes,Ultra-Low VOC,Yes,No
932,PROD-3F2EC299,Buckeye International MirrorBright GS,Buckeye International,Glass Cleaner,3.5,0.05,1:64,419,9.81,Green Seal GS-37; UL ECOLOGO,Yes,Long-Term Care Home; Dental Clinic; Emergency Department; Diagnostic Imaging Centre; Community Health Centre; Psychiatric Facility; Medical Office Building; Rehabilitation Centre; Acute Care Hospital; Outpatient Surgery Centre,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,Yes,Ultra-Low VOC,Yes,Yes
933,PROD-8B85F49B,Nyco Products WaxBreak Complete 500,Nyco Products,Floor Wax Stripper,0.7,0.04,1:16,121,27.19,Green Seal GS-37; UL ECOLOGO; EPA Safer Choice; UL GREENGUARD Gold,Yes,Acute Care Hospital; Psychiatric Facility; Medical Office Building; Rehabilitation Centre; Emergency Department; Community Health Centre; Outpatient Surgery Centre; Diagnostic Imaging Centre,0,26,,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Ultra-Low VOC,Yes,Yes
934,PROD-A8DB6EBD,Clean Control Corporation DiamondShield Floor Finish Elite,Clean Control Corporation,Floor Finish / Polish,5.6,5.6,RTU (Ready-to-Use),295,20.59,Green Seal GS-37; UL ECOLOGO; EPA Safer Choice; LEED v4 Compliant,Yes,Diagnostic Imaging Centre; Outpatient Surgery Centre; Long-Term Care Home; Rehabilitation Centre; Dental Clinic; Emergency Department; Psychiatric Facility; Medical Office Building; Acute Care Hospital,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Yes,Yes
935,PROD-E1231F4F,Chase Products Co. SaniTile Daily 700,Chase Products Co.,Bathroom and Tile Cleaner,8.2,0.13,1:64,357,8.44,EPA Safer Choice; LEED v4 Compliant,Yes,Rehabilitation Centre; Community Health Centre; Diagnostic Imaging Centre; Dental Clinic; Acute Care Hospital; Emergency Department; Medical Office Building,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,No,Low VOC,Yes,No
936,PROD-0C3201B7,Rochester Midland Corporation MirrorBright GS,Rochester Midland Corporation,Glass Cleaner,9.4,9.4,RTU (Ready-to-Use),680,12.53,LEED v4 Compliant,Yes,Acute Care Hospital; Emergency Department; Psychiatric Facility; Diagnostic Imaging Centre; Rehabilitation Centre; Dental Clinic; Community Health Centre; Long-Term Care Home,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Yes,No
937,PROD-A1A613FB,Delta Foremost Chemical TagRemove HD LV,Delta Foremost Chemical,Graffiti Remover,43.2,43.2,RTU (Ready-to-Use),16,46.8,None,No,,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,No,No
938,PROD-B5ED12E1,Swish Maintenance GrillMaster Clean Ultra,Swish Maintenance,Oven/Grill Cleaner,4.6,4.6,RTU (Ready-to-Use),80,11.2,Green Seal GS-37; UL GREENGUARD Gold; LEED v4 Compliant,Yes,Long-Term Care Home; Dental Clinic; Community Health Centre; Psychiatric Facility; Outpatient Surgery Centre; Acute Care Hospital; Rehabilitation Centre; Emergency Department; Medical Office Building; Diagnostic Imaging Centre,17,26,US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-VA,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-MI; US-UT; US-WA,,No,Ultra-Low VOC,Yes,Yes
939,PROD-DEA195A3,Betco Corporation BioDefend Dilutable 300,Betco Corporation,Disinfectant (Concentrate),8.7,0.03,1:256,364,19.26,UL ECOLOGO; EPA Safer Choice,Yes,Rehabilitation Centre; Community Health Centre; Emergency Department; Acute Care Hospital; Diagnostic Imaging Centre; Dental Clinic; Medical Office Building,22,26,CA-QC; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,CA-BC; CA-FED; CA-ON; US-CA,DIN 02255708,Yes,Low VOC,Yes,No
940,PROD-B89198E0,Procter & Gamble Professional DiamondShield Floor Finish EC,Procter & Gamble Professional,Floor Finish / Polish,3.5,3.5,RTU (Ready-to-Use),394,8.63,Green Seal GS-37; UL ECOLOGO; UL GREENGUARD Gold; LEED v4 Compliant,Yes,Acute Care Hospital; Rehabilitation Centre; Dental Clinic,22,26,CA-QC; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,CA-BC; CA-FED; CA-ON; US-CA,,Yes,Ultra-Low VOC,Yes,Yes
941,PROD-7FCC237C,Core Products Co. FabriClean HC 300,Core Products Co.,Laundry Detergent (Institutional),7.1,0.04,1:200,,14.59,UL ECOLOGO; EPA Safer Choice; LEED v4 Compliant,Yes,Outpatient Surgery Centre; Emergency Department; Medical Office Building,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Yes,No
942,PROD-C0AF0860,Midlab Inc. MediGuard Spray 1000,Midlab Inc.,Disinfectant (Spray),22.2,22.2,RTU (Ready-to-Use),391,16.63,None,No,,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,DIN 02295421,Yes,Low VOC,Conditional,No
943,PROD-BFDDA617,Essential Industries FreshZone Wick EC,Essential Industries,Air Freshener (Liquid/Wick),8.9,8.9,RTU (Ready-to-Use),1702,5.97,Green Seal GS-37; UL ECOLOGO; EPA Safer Choice; LEED v4 Compliant,Yes,Outpatient Surgery Centre; Diagnostic Imaging Centre; Psychiatric Facility; Acute Care Hospital; Long-Term Care Home; Community Health Centre; Dental Clinic; Rehabilitation Centre; Emergency Department,0,26,,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Yes,Yes
944,PROD-81B27DD1,Clorox Professional PathShield RTU Spray 300,Clorox Professional,Disinfectant (Spray),35.6,35.6,RTU (Ready-to-Use),191,12.85,EPA Safer Choice,No,,22,26,CA-QC; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,CA-BC; CA-FED; CA-ON; US-CA,DIN 02275009,Yes,Low VOC,No,No
945,PROD-F866E403,Multi-Clean Inc. SSClean Pro 700,Multi-Clean Inc.,Stainless Steel Cleaner,16.3,16.3,RTU (Ready-to-Use),121,13.49,None,No,,0,26,,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Conditional,No
946,PROD-5E62775F,Dustbane Products FoodSafe Sanitizer Pro,Dustbane Products,Sanitizer (Food Contact),13.0,0.05,1:256,384,14.49,UL ECOLOGO; EPA Safer Choice,No,,17,26,US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-VA,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-MI; US-UT; US-WA,DIN 02283254,Yes,Low VOC,Conditional,No
947,PROD-5AC52583,Dustbane Products OvenPro Heavy Duty HD,Dustbane Products,Oven/Grill Cleaner,1.7,1.7,RTU (Ready-to-Use),41,11.07,Green Seal GS-37; UL ECOLOGO; EPA Safer Choice; UL GREENGUARD Gold; LEED v4 Compliant,Yes,Outpatient Surgery Centre; Diagnostic Imaging Centre; Medical Office Building; Rehabilitation Centre; Emergency Department; Long-Term Care Home,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,Yes,Ultra-Low VOC,Yes,Yes
948,PROD-10C10F71,Buckeye International SaniBowl HC Plus,Buckeye International,Toilet/Urinal Care Product,8.1,8.1,RTU (Ready-to-Use),120,10.32,Green Seal GS-37; UL ECOLOGO; EPA Safer Choice; LEED v4 Compliant,Yes,Acute Care Hospital; Emergency Department; Medical Office Building; Outpatient Surgery Centre; Psychiatric Facility,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Yes,Yes
949,PROD-8BFC3310,Chase Products Co. FoodSafe Sanitizer LV,Chase Products Co.,Sanitizer (Food Contact),5.1,5.1,RTU (Ready-to-Use),313,19.04,Green Seal GS-37; UL ECOLOGO; EPA Safer Choice,Yes,Dental Clinic; Community Health Centre; Diagnostic Imaging Centre,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,DIN 02273114,Yes,Low VOC,Yes,Yes
